ts_utc,run_id,phase,endpoint_label,endpoint_host,latency_ms,success,ldap_rc
2026-02-12T11:03:01Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,344,1,0
2026-02-12T11:03:01Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,355,1,0
2026-02-12T11:03:01Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,393,1,0
2026-02-12T11:03:02Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,372,1,0
2026-02-12T11:03:02Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,368,1,0
2026-02-12T11:03:02Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,398,1,0
2026-02-12T11:03:03Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,374,1,0
2026-02-12T11:03:03Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,354,1,0
2026-02-12T11:03:04Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:03:05Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,367,1,0
2026-02-12T11:03:05Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,366,1,0
2026-02-12T11:03:05Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,394,1,0
2026-02-12T11:03:06Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,352,1,0
2026-02-12T11:03:06Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,371,1,0
2026-02-12T11:03:07Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,396,1,0
2026-02-12T11:03:08Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,356,1,0
